x, y
0.03131491156291307, 4194.348577798843
1.0561045718721807, 5445.124596970689
2.051729925935251, 6062.668971916451
3.0626717861563963, 5406.00655527593
4.050061895470091, 7203.50059745132
5.03063301231615, 6812.119917491639
6.030035039130526, 6326.081587151125
7.019051215878811, 5734.4378951022345
8.05118440653784, 9189.442134002657
9.046232768930572, 9879.548473662077
10.041543400264366, 8407.548580469016
0.007238622773336691, 5569.75494482754
1.0332347202114938, 5521.291295901951
2.059073456285013, 5865.743676695393
3.0450997671051803, 5210.54985547686
4.0633851576760875, 7525.6570295654965
5.051614527601183, 7071.52727248453
6.031293930047628, 7082.40822947471
7.041186714504522, 6567.331762381261
8.051446675478903, 9447.914928272465
9.031021170348923, 9984.152520310006
10.032311533538952, 9259.000153534977
0.051562073812970774, 4889.327984085767
1.0480266884874425, 5907.932417908854
2.0435471349740877, 6250.5156772561295
3.0371267912968674, 6373.944447040447
4.047753928788737, 7562.772441139363
5.0440087283103585, 7884.328084217273
6.044617192253624, 8037.596042802881
7.0515725645706135, 7472.120051000314
8.054174272465957, 10598.359178387616
9.046862214389124, 10213.787440838969
10.055024023835001, 11259.293872619373
0.034881769161368835, 4689.331989346008
1.0350181490107215, 5714.878874254855
2.076750382912654, 5265.088149102488
3.0598917353811292, 6828.00744978405
4.056198988690963, 6953.839375713437
5.0287971297287095, 6622.203827693705
6.040892973290531, 6168.007316275375
7.039088562976018, 5413.549795397956
8.061360441451082, 7679.926303211551
9.061234552359371, 8350.87414804777
10.038028996454123, 8222.639065973312
