x, y
0.020666792555758377, 3949.7606857005535
1.0475021506053168, 4973.505203500597
2.0428652357273243, 5110.952384131158
3.029993076099956, 4619.640461138963
4.075764251694258, 5106.947123889375
5.035668575984558, 4371.381080485705
6.0277270724491725, 4075.859628979393
7.024139233335432, 4047.555789937451
8.043106523153103, 4458.6957537566
9.01612429449655, 4438.202172186138
10.036140660078471, 4807.820938165458
0.001835882587440465, 4482.794069544669
1.0374310232685005, 5775.892338604701
2.0304861417091544, 5520.82401554041
3.057636222487988, 6141.1053183180575
4.046914668177336, 7071.594026821893
5.038343719183399, 5514.549107828281
6.014351356454963, 6216.470965200964
7.012651853716876, 5304.673471158789
8.056429785359098, 6494.569534655514
9.064067056922852, 6263.33251002984
10.045687249533161, 5531.371200843775
0.0284824069994335, 4767.968598759704
1.037378569480288, 5045.866905202165
2.0308533182266424, 5306.342329592866
3.0307798829231447, 4901.811045172661
4.044816516648832, 5114.089837987223
5.035248945678857, 5210.282838127408
6.017655945112356, 4337.002596743723
7.024401502276494, 4337.603385779991
8.051079498961416, 6652.443542519175
9.050901156081492, 5872.018584407522
10.019198086485806, 4923.439450478295
0.02968884412832295, 5175.7708457107
1.0448794611946874, 5086.119770632096
2.040085184952057, 4429.190336642123
3.064560122532049, 5235.716240662738
4.057090703090577, 6327.349919561024
5.025020456977403, 5996.448669252284
6.020645811040473, 4979.246076513822
7.004783785484988, 4705.286275975782
8.045624304987307, 6024.485490944775
9.05042907198758, 6303.051340760866
10.042172845722918, 5458.074938419124
